condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
Miss,0.029,0.014,0.045,0.008,31.584,0.30000000000000004,38.987179487179496
Hit,0.016,-0.0,0.032,0.008,38.884,0.30000000000000004,38.987179487179496
RP,0.021,0.007,0.036,0.007,24.157,0.30000000000000004,38.987179487179496
FTI,0.019,0.001,0.038,0.009,69.111,0.30000000000000004,38.987179487179496
Miss,0.018,0.009,0.027,0.005,32.305,0.30000000000000004,40.0
Hit,0.01,-0.0,0.019,0.005,40.292,0.30000000000000004,40.0
RP,0.013,0.004,0.022,0.004,24.248,0.30000000000000004,40.0
FTI,0.011,0.0,0.022,0.006,73.755,0.30000000000000004,40.0
Miss,3.145,0.763,5.528,1.161,27.038,0.3499999999999999,0.5
Hit,3.776,1.337,6.215,1.195,30.267,0.3499999999999999,0.5
RP,3.291,0.973,5.608,1.122,23.55,0.3499999999999999,0.5
FTI,5.673,3.05,8.297,1.3,42.478,0.3499999999999999,0.5
Miss,1.253,0.697,1.809,0.271,27.533,0.3499999999999999,1.5128205128205128
Hit,1.561,0.99,2.132,0.28,31.186,0.3499999999999999,1.5128205128205128
RP,1.114,0.574,1.653,0.261,23.615,0.3499999999999999,1.5128205128205128
FTI,1.411,0.793,2.03,0.307,45.164,0.3499999999999999,1.5128205128205128
Miss,1.375,0.951,1.799,0.207,27.244,0.3499999999999999,2.525641025641025
Hit,1.884,1.45,2.319,0.213,30.652,0.3499999999999999,2.525641025641025
RP,0.781,0.37,1.193,0.199,23.573,0.3499999999999999,2.525641025641025
FTI,1.44,0.972,1.909,0.233,43.608,0.3499999999999999,2.525641025641025
Miss,1.452,1.121,1.783,0.162,28.026,0.3499999999999999,3.5384615384615383
Hit,1.674,1.334,2.015,0.167,32.116,0.3499999999999999,3.5384615384615383
RP,0.794,0.474,1.114,0.155,23.67,0.3499999999999999,3.5384615384615383
FTI,1.378,1.007,1.75,0.185,47.947,0.3499999999999999,3.5384615384615383
Miss,1.254,0.972,1.536,0.138,29.147,0.3499999999999999,4.55128205128205
Hit,1.125,0.833,1.417,0.144,34.24,0.3499999999999999,4.55128205128205
RP,0.843,0.573,1.114,0.131,23.807,0.3499999999999999,4.55128205128205
FTI,1.133,0.81,1.456,0.161,54.43,0.3499999999999999,4.55128205128205
Miss,1.232,0.977,1.487,0.125,31.831,0.3499999999999999,5.564102564102564
Hit,1.084,0.817,1.351,0.132,39.428,0.3499999999999999,5.564102564102564
RP,0.907,0.666,1.148,0.117,24.133,0.3499999999999999,5.564102564102564
FTI,1.071,0.766,1.376,0.153,71.059,0.3499999999999999,5.564102564102564
Miss,1.439,1.104,1.775,0.164,30.603,0.3499999999999999,6.5769230769230775
Hit,1.359,1.009,1.708,0.172,37.057,0.3499999999999999,6.5769230769230775
RP,1.086,0.767,1.405,0.155,23.967,0.3499999999999999,6.5769230769230775
FTI,1.289,0.895,1.684,0.197,63.374,0.3499999999999999,6.5769230769230775
Miss,1.614,1.121,2.107,0.241,28.395,0.3499999999999999,7.589743589743589
Hit,1.448,0.94,1.956,0.25,32.839,0.3499999999999999,7.589743589743589
RP,1.373,0.898,1.848,0.23,23.689,0.3499999999999999,7.589743589743589
FTI,1.412,0.854,1.97,0.278,50.194,0.3499999999999999,7.589743589743589
Miss,1.66,1.129,2.192,0.26,28.344,0.3499999999999999,8.602564102564102
Hit,1.337,0.789,1.885,0.269,32.75,0.3499999999999999,8.602564102564102
RP,1.59,1.077,2.103,0.248,23.676,0.3499999999999999,8.602564102564102
FTI,1.312,0.71,1.913,0.299,49.94,0.3499999999999999,8.602564102564102
Miss,1.612,1.137,2.088,0.233,30.085,0.3499999999999999,9.615384615384617
Hit,1.212,0.718,1.706,0.244,36.083,0.3499999999999999,9.615384615384617
RP,1.653,1.199,2.106,0.22,23.88,0.3499999999999999,9.615384615384617
FTI,1.134,0.579,1.688,0.277,60.325,0.3499999999999999,9.615384615384617
Miss,1.47,1.098,1.842,0.183,32.879,0.3499999999999999,10.628205128205126
Hit,1.106,0.714,1.497,0.194,41.562,0.3499999999999999,10.628205128205126
RP,1.516,1.167,1.865,0.169,24.196,0.3499999999999999,10.628205128205126
FTI,0.949,0.497,1.402,0.227,78.389,0.3499999999999999,10.628205128205126
Miss,1.273,1.015,1.531,0.127,37.138,0.3499999999999999,11.64102564102564
Hit,0.994,0.718,1.27,0.137,50.247,0.3499999999999999,11.64102564102564
RP,1.258,1.021,1.494,0.115,24.615,0.3499999999999999,11.64102564102564
FTI,0.774,0.443,1.105,0.167,109.233,0.3499999999999999,11.64102564102564
Miss,1.075,0.886,1.263,0.093,39.857,0.3499999999999999,12.653846153846152
Hit,0.873,0.669,1.076,0.102,55.958,0.3499999999999999,12.653846153846152
RP,1.014,0.844,1.185,0.083,24.866,0.3499999999999999,12.653846153846152
FTI,0.642,0.393,0.89,0.126,130.684,0.3499999999999999,12.653846153846152
Miss,0.911,0.747,1.075,0.081,37.458,0.3499999999999999,13.666666666666664
Hit,0.766,0.591,0.942,0.087,50.831,0.3499999999999999,13.666666666666664
RP,0.847,0.697,0.997,0.073,24.71,0.3499999999999999,13.666666666666664
FTI,0.587,0.377,0.798,0.106,111.152,0.3499999999999999,13.666666666666664
Miss,0.808,0.645,0.971,0.08,34.59,0.3499999999999999,14.67948717948718
Hit,0.704,0.532,0.877,0.086,44.902,0.3499999999999999,14.67948717948718
RP,0.75,0.599,0.901,0.073,24.459,0.3499999999999999,14.67948717948718
FTI,0.601,0.399,0.803,0.102,89.671,0.3499999999999999,14.67948717948718
Miss,0.763,0.584,0.942,0.088,32.3,0.3499999999999999,15.692307692307693
Hit,0.684,0.496,0.872,0.093,40.324,0.3499999999999999,15.692307692307693
RP,0.699,0.53,0.868,0.082,24.211,0.3499999999999999,15.692307692307693
FTI,0.64,0.424,0.855,0.108,73.969,0.3499999999999999,15.692307692307693
Miss,0.752,0.544,0.96,0.102,29.984,0.3499999999999999,16.705128205128204
Hit,0.681,0.465,0.897,0.106,35.818,0.3499999999999999,16.705128205128204
RP,0.676,0.478,0.875,0.096,23.931,0.3499999999999999,16.705128205128204
FTI,0.663,0.422,0.905,0.121,59.314,0.3499999999999999,16.705128205128204
Miss,0.75,0.506,0.995,0.119,28.029,0.3499999999999999,17.71794871794872
Hit,0.675,0.423,0.926,0.123,32.108,0.3499999999999999,17.71794871794872
RP,0.671,0.435,0.908,0.114,23.684,0.3499999999999999,17.71794871794872
FTI,0.657,0.382,0.931,0.136,47.889,0.3499999999999999,17.71794871794872
Miss,0.742,0.455,1.03,0.14,26.889,0.3499999999999999,18.73076923076923
Hit,0.662,0.368,0.956,0.144,29.984,0.3499999999999999,18.73076923076923
RP,0.676,0.397,0.956,0.135,23.537,0.3499999999999999,18.73076923076923
FTI,0.625,0.309,0.94,0.156,41.647,0.3499999999999999,18.73076923076923
Miss,0.724,0.39,1.057,0.162,26.442,0.3499999999999999,19.743589743589748
Hit,0.637,0.296,0.977,0.166,29.16,0.3499999999999999,19.743589743589748
RP,0.685,0.359,1.011,0.158,23.479,0.3499999999999999,19.743589743589748
FTI,0.582,0.22,0.945,0.179,39.289,0.3499999999999999,19.743589743589748
Miss,0.699,0.319,1.079,0.185,26.301,0.3499999999999999,20.756410256410252
Hit,0.591,0.204,0.978,0.189,28.899,0.3499999999999999,20.756410256410252
RP,0.693,0.321,1.064,0.18,23.461,0.3499999999999999,20.756410256410252
FTI,0.542,0.131,0.953,0.203,38.548,0.3499999999999999,20.756410256410252
Miss,0.675,0.253,1.096,0.205,26.244,0.3499999999999999,21.76923076923077
Hit,0.523,0.093,0.952,0.21,28.794,0.3499999999999999,21.76923076923077
RP,0.695,0.283,1.107,0.199,23.454,0.3499999999999999,21.76923076923077
FTI,0.507,0.05,0.963,0.225,38.25,0.3499999999999999,21.76923076923077
Miss,0.649,0.197,1.101,0.22,26.244,0.3499999999999999,22.78205128205128
Hit,0.448,-0.013,0.909,0.225,28.795,0.3499999999999999,22.78205128205128
RP,0.688,0.246,1.131,0.214,23.454,0.3499999999999999,22.78205128205128
FTI,0.471,-0.018,0.961,0.242,38.252,0.3499999999999999,22.78205128205128
Miss,0.615,0.152,1.079,0.226,26.278,0.3499999999999999,23.794871794871803
Hit,0.384,-0.088,0.857,0.231,28.857,0.3499999999999999,23.794871794871803
RP,0.667,0.214,1.121,0.219,23.459,0.3499999999999999,23.794871794871803
FTI,0.433,-0.07,0.935,0.248,38.424,0.3499999999999999,23.794871794871803
Miss,0.567,0.116,1.018,0.22,26.29,0.3499999999999999,24.80769230769231
Hit,0.34,-0.12,0.8,0.225,28.878,0.3499999999999999,24.80769230769231
RP,0.631,0.19,1.072,0.213,23.461,0.3499999999999999,24.80769230769231
FTI,0.394,-0.095,0.882,0.241,38.485,0.3499999999999999,24.80769230769231
Miss,0.506,0.09,0.923,0.203,26.268,0.3499999999999999,25.820512820512818
Hit,0.31,-0.115,0.735,0.208,28.838,0.3499999999999999,25.820512820512818
RP,0.582,0.175,0.99,0.197,23.458,0.3499999999999999,25.820512820512818
FTI,0.359,-0.092,0.811,0.223,38.371,0.3499999999999999,25.820512820512818
Miss,0.441,0.072,0.809,0.179,26.26,0.3499999999999999,26.83333333333333
Hit,0.287,-0.089,0.663,0.184,28.824,0.3499999999999999,26.83333333333333
RP,0.527,0.167,0.888,0.174,23.457,0.3499999999999999,26.83333333333333
FTI,0.331,-0.068,0.73,0.197,38.332,0.3499999999999999,26.83333333333333
Miss,0.378,0.062,0.694,0.154,26.327,0.3499999999999999,27.84615384615385
Hit,0.268,-0.054,0.59,0.157,28.946,0.3499999999999999,27.84615384615385
RP,0.469,0.161,0.778,0.149,23.466,0.3499999999999999,27.84615384615385
FTI,0.306,-0.037,0.648,0.169,38.675,0.3499999999999999,27.84615384615385
Miss,0.322,0.058,0.587,0.129,26.503,0.3499999999999999,28.85897435897436
Hit,0.253,-0.017,0.523,0.132,29.269,0.3499999999999999,28.85897435897436
RP,0.41,0.152,0.668,0.125,23.49,0.3499999999999999,28.85897435897436
FTI,0.279,-0.008,0.567,0.142,39.592,0.3499999999999999,28.85897435897436
Miss,0.275,0.057,0.493,0.106,26.801,0.3499999999999999,29.871794871794872
Hit,0.243,0.019,0.466,0.109,29.817,0.3499999999999999,29.871794871794872
RP,0.351,0.138,0.564,0.103,23.53,0.3499999999999999,29.871794871794872
FTI,0.249,0.01,0.488,0.118,41.153,0.3499999999999999,29.871794871794872
Miss,0.235,0.055,0.414,0.087,27.16,0.3499999999999999,30.884615384615387
Hit,0.231,0.047,0.414,0.09,30.479,0.3499999999999999,30.884615384615387
RP,0.293,0.119,0.467,0.084,23.579,0.3499999999999999,30.884615384615387
FTI,0.216,0.018,0.414,0.098,43.067,0.3499999999999999,30.884615384615387
Miss,0.199,0.053,0.345,0.071,27.415,0.3499999999999999,31.897435897435894
Hit,0.211,0.061,0.361,0.073,30.953,0.3499999999999999,31.897435897435894
RP,0.239,0.097,0.381,0.069,23.613,0.3499999999999999,31.897435897435894
FTI,0.183,0.021,0.345,0.08,44.449,0.3499999999999999,31.897435897435894
Miss,0.167,0.049,0.284,0.057,27.452,0.3499999999999999,32.91025641025641
Hit,0.181,0.061,0.302,0.059,31.022,0.3499999999999999,32.91025641025641
RP,0.19,0.076,0.304,0.055,23.618,0.3499999999999999,32.91025641025641
FTI,0.151,0.02,0.281,0.065,44.65,0.3499999999999999,32.91025641025641
Miss,0.135,0.043,0.228,0.045,27.389,0.3499999999999999,33.92307692307692
Hit,0.145,0.05,0.239,0.047,30.904,0.3499999999999999,33.92307692307692
RP,0.147,0.057,0.237,0.043,23.609,0.3499999999999999,33.92307692307692
FTI,0.12,0.018,0.223,0.051,44.306,0.3499999999999999,33.92307692307692
Miss,0.105,0.035,0.175,0.034,27.456,0.3499999999999999,34.93589743589744
Hit,0.107,0.035,0.179,0.035,31.028,0.3499999999999999,34.93589743589744
RP,0.11,0.042,0.178,0.033,23.618,0.3499999999999999,34.93589743589744
FTI,0.092,0.014,0.17,0.039,44.67,0.3499999999999999,34.93589743589744
Miss,0.078,0.027,0.129,0.025,27.721,0.3499999999999999,35.94871794871795
Hit,0.074,0.022,0.127,0.026,31.522,0.3499999999999999,35.94871794871795
RP,0.079,0.029,0.128,0.024,23.653,0.3499999999999999,35.94871794871795
FTI,0.067,0.01,0.124,0.028,46.124,0.3499999999999999,35.94871794871795
Miss,0.055,0.02,0.091,0.017,28.008,0.3499999999999999,36.96153846153846
Hit,0.049,0.013,0.086,0.018,32.058,0.3499999999999999,36.96153846153846
RP,0.054,0.02,0.088,0.017,23.691,0.3499999999999999,36.96153846153846
FTI,0.046,0.007,0.086,0.02,47.719,0.3499999999999999,36.96153846153846
Miss,0.038,0.015,0.061,0.011,28.062,0.3499999999999999,37.97435897435897
Hit,0.031,0.008,0.055,0.012,32.161,0.3499999999999999,37.97435897435897
RP,0.035,0.013,0.057,0.011,23.698,0.3499999999999999,37.97435897435897
FTI,0.031,0.005,0.057,0.013,48.027,0.3499999999999999,37.97435897435897
Miss,0.025,0.01,0.039,0.007,27.808,0.3499999999999999,38.987179487179496
Hit,0.019,0.005,0.034,0.007,31.686,0.3499999999999999,38.987179487179496
RP,0.022,0.008,0.036,0.007,23.663,0.3499999999999999,38.987179487179496
FTI,0.02,0.003,0.036,0.008,46.613,0.3499999999999999,38.987179487179496
Miss,0.015,0.007,0.024,0.004,27.37,0.3499999999999999,40.0
Hit,0.011,0.003,0.02,0.004,30.872,0.3499999999999999,40.0
RP,0.013,0.005,0.021,0.004,23.604,0.3499999999999999,40.0
FTI,0.012,0.003,0.021,0.005,44.217,0.3499999999999999,40.0
Miss,3.221,0.795,5.647,1.183,27.072,0.3999999999999999,0.5
Hit,3.857,1.373,6.34,1.216,30.308,0.3999999999999999,0.5
RP,3.352,0.992,5.712,1.142,23.577,0.3999999999999999,0.5
FTI,5.8,3.128,8.471,1.324,42.549,0.3999999999999999,0.5
Miss,1.255,0.702,1.808,0.27,27.352,0.3999999999999999,1.5128205128205128
Hit,1.502,0.935,2.068,0.278,30.85,0.3999999999999999,1.5128205128205128
RP,1.111,0.574,1.647,0.26,23.591,0.3999999999999999,1.5128205128205128
FTI,1.414,0.801,2.026,0.304,44.178,0.3999999999999999,1.5128205128205128
Miss,1.331,0.909,1.752,0.205,27.027,0.3999999999999999,2.525641025641025
Hit,1.811,1.38,2.242,0.211,30.25,0.3999999999999999,2.525641025641025
RP,0.77,0.36,1.18,0.198,23.545,0.3999999999999999,2.525641025641025
FTI,1.382,0.918,1.845,0.23,42.44,0.3999999999999999,2.525641025641025
Miss,1.329,1.006,1.651,0.158,27.611,0.3999999999999999,3.5384615384615383
Hit,1.533,1.202,1.865,0.163,31.338,0.3999999999999999,3.5384615384615383
RP,0.786,0.473,1.098,0.151,23.62,0.3999999999999999,3.5384615384615383
FTI,1.268,0.908,1.628,0.179,45.625,0.3999999999999999,3.5384615384615383
Miss,1.162,0.886,1.439,0.135,28.844,0.3999999999999999,4.55128205128205
Hit,1.107,0.821,1.392,0.14,33.659,0.3999999999999999,4.55128205128205
RP,0.831,0.566,1.097,0.129,23.774,0.3999999999999999,4.55128205128205
FTI,1.052,0.737,1.367,0.157,52.624,0.3999999999999999,4.55128205128205
Miss,1.133,0.875,1.391,0.126,31.298,0.3999999999999999,5.564102564102564
Hit,1.104,0.834,1.373,0.133,38.379,0.3999999999999999,5.564102564102564
RP,0.897,0.653,1.141,0.118,24.075,0.3999999999999999,5.564102564102564
FTI,0.982,0.676,1.288,0.153,67.593,0.3999999999999999,5.564102564102564
Miss,1.246,0.912,1.581,0.164,30.247,0.3999999999999999,6.5769230769230775
Hit,1.238,0.89,1.586,0.172,36.363,0.3999999999999999,6.5769230769230775
RP,1.08,0.761,1.399,0.154,23.928,0.3999999999999999,6.5769230769230775
FTI,1.102,0.711,1.492,0.195,61.142,0.3999999999999999,6.5769230769230775
Miss,1.37,0.878,1.863,0.24,28.412,0.3999999999999999,7.589743589743589
Hit,1.258,0.751,1.765,0.249,32.87,0.3999999999999999,7.589743589743589
RP,1.377,0.903,1.851,0.23,23.693,0.3999999999999999,7.589743589743589
FTI,1.152,0.595,1.709,0.277,50.283,0.3999999999999999,7.589743589743589
Miss,1.443,0.918,1.968,0.257,28.419,0.3999999999999999,8.602564102564102
Hit,1.215,0.673,1.756,0.266,32.891,0.3999999999999999,8.602564102564102
RP,1.593,1.086,2.099,0.245,23.686,0.3999999999999999,8.602564102564102
FTI,1.067,0.472,1.662,0.296,50.368,0.3999999999999999,8.602564102564102
Miss,1.437,0.977,1.898,0.226,30.33,0.3999999999999999,9.615384615384617
Hit,1.156,0.677,1.635,0.236,36.561,0.3999999999999999,9.615384615384617
RP,1.645,1.207,2.084,0.212,23.904,0.3999999999999999,9.615384615384617
FTI,0.951,0.412,1.49,0.27,61.864,0.3999999999999999,9.615384615384617
Miss,1.326,0.968,1.683,0.176,33.786,0.3999999999999999,10.628205128205126
Hit,1.075,0.698,1.453,0.187,43.385,0.3999999999999999,10.628205128205126
RP,1.51,1.176,1.843,0.162,24.288,0.3999999999999999,10.628205128205126
FTI,0.824,0.384,1.264,0.221,84.664,0.3999999999999999,10.628205128205126
Miss,1.16,0.908,1.411,0.124,38.625,0.3999999999999999,11.64102564102564
Hit,0.976,0.706,1.246,0.135,53.324,0.3999999999999999,11.64102564102564
RP,1.263,1.034,1.492,0.111,24.778,0.3999999999999999,11.64102564102564
FTI,0.689,0.361,1.016,0.165,120.594,0.3999999999999999,11.64102564102564
Miss,0.995,0.805,1.186,0.094,40.624,0.3999999999999999,12.653846153846152
Hit,0.862,0.657,1.068,0.103,57.484,0.3999999999999999,12.653846153846152
RP,1.031,0.859,1.202,0.083,25.011,0.3999999999999999,12.653846153846152
FTI,0.585,0.333,0.838,0.128,136.24,0.3999999999999999,12.653846153846152
Miss,0.857,0.684,1.03,0.085,37.88,0.3999999999999999,13.666666666666664
Hit,0.752,0.567,0.937,0.092,51.628,0.3999999999999999,13.666666666666664
RP,0.874,0.715,1.032,0.077,24.813,0.3999999999999999,13.666666666666664
FTI,0.555,0.332,0.778,0.113,113.865,0.3999999999999999,13.666666666666664
Miss,0.764,0.587,0.941,0.087,35.459,0.3999999999999999,14.67948717948718
Hit,0.672,0.484,0.86,0.093,46.625,0.3999999999999999,14.67948717948718
RP,0.789,0.625,0.953,0.08,24.583,0.3999999999999999,14.67948717948718
FTI,0.585,0.363,0.807,0.112,95.647,0.3999999999999999,14.67948717948718
Miss,0.724,0.531,0.917,0.095,32.991,0.3999999999999999,15.692307692307693
Hit,0.633,0.429,0.836,0.101,41.677,0.3999999999999999,15.692307692307693
RP,0.751,0.57,0.933,0.088,24.302,0.3999999999999999,15.692307692307693
FTI,0.618,0.383,0.853,0.118,78.493,0.3999999999999999,15.692307692307693
Miss,0.723,0.506,0.94,0.106,30.443,0.3999999999999999,16.705128205128204
Hit,0.62,0.394,0.846,0.111,36.699,0.3999999999999999,16.705128205128204
RP,0.738,0.531,0.944,0.1,23.991,0.3999999999999999,16.705128205128204
FTI,0.618,0.363,0.872,0.127,62.106,0.3999999999999999,16.705128205128204
Miss,0.734,0.486,0.982,0.121,28.854,0.3999999999999999,17.71794871794872
Hit,0.613,0.357,0.87,0.126,33.66,0.3999999999999999,17.71794871794872
RP,0.736,0.497,0.974,0.115,23.792,0.3999999999999999,17.71794871794872
FTI,0.589,0.306,0.871,0.141,52.586,0.3999999999999999,17.71794871794872
Miss,0.737,0.449,1.026,0.141,28.172,0.3999999999999999,18.73076923076923
Hit,0.6,0.303,0.897,0.146,32.372,0.3999999999999999,18.73076923076923
RP,0.74,0.461,1.018,0.135,23.707,0.3999999999999999,18.73076923076923
FTI,0.56,0.235,0.885,0.162,48.671,0.3999999999999999,18.73076923076923
Miss,0.728,0.391,1.066,0.165,27.891,0.3999999999999999,19.743589743589748
Hit,0.571,0.224,0.918,0.17,31.843,0.3999999999999999,19.743589743589748
RP,0.745,0.419,1.072,0.158,23.673,0.3999999999999999,19.743589743589748
FTI,0.549,0.171,0.927,0.188,47.086,0.3999999999999999,19.743589743589748
Miss,0.711,0.32,1.101,0.19,27.794,0.3999999999999999,20.756410256410252
Hit,0.524,0.124,0.925,0.197,31.661,0.3999999999999999,20.756410256410252
RP,0.748,0.371,1.126,0.183,23.661,0.3999999999999999,20.756410256410252
FTI,0.55,0.114,0.986,0.217,46.539,0.3999999999999999,20.756410256410252
Miss,0.687,0.249,1.126,0.214,27.679,0.3999999999999999,21.76923076923077
Hit,0.464,0.014,0.914,0.221,31.446,0.3999999999999999,21.76923076923077
RP,0.747,0.322,1.172,0.206,23.647,0.3999999999999999,21.76923076923077
FTI,0.542,0.053,1.031,0.243,45.901,0.3999999999999999,21.76923076923077
Miss,0.653,0.18,1.126,0.231,27.333,0.3999999999999999,22.78205128205128
Hit,0.405,-0.08,0.89,0.238,30.801,0.3999999999999999,22.78205128205128
RP,0.739,0.28,1.198,0.222,23.602,0.3999999999999999,22.78205128205128
FTI,0.509,-0.015,1.033,0.26,44.006,0.3999999999999999,22.78205128205128
Miss,0.601,0.118,1.084,0.235,26.79,0.3999999999999999,23.794871794871803
Hit,0.362,-0.131,0.855,0.241,29.796,0.3999999999999999,23.794871794871803
RP,0.718,0.248,1.188,0.228,23.529,0.3999999999999999,23.794871794871803
FTI,0.453,-0.075,0.982,0.262,41.094,0.3999999999999999,23.794871794871803
Miss,0.532,0.069,0.995,0.225,26.313,0.3999999999999999,24.80769230769231
Hit,0.338,-0.134,0.811,0.231,28.92,0.3999999999999999,24.80769230769231
RP,0.68,0.227,1.132,0.219,23.464,0.3999999999999999,24.80769230769231
FTI,0.39,-0.112,0.892,0.248,38.601,0.3999999999999999,24.80769230769231
Miss,0.458,0.039,0.876,0.204,26.124,0.3999999999999999,25.820512820512818
Hit,0.326,-0.1,0.752,0.208,28.574,0.3999999999999999,25.820512820512818
RP,0.624,0.215,1.034,0.198,23.438,0.3999999999999999,25.820512820512818
FTI,0.337,-0.115,0.788,0.223,37.63,0.3999999999999999,25.820512820512818
Miss,0.393,0.033,0.752,0.175,26.192,0.3999999999999999,26.83333333333333
Hit,0.312,-0.055,0.678,0.179,28.7,0.3999999999999999,26.83333333333333
RP,0.557,0.205,0.909,0.17,23.448,0.3999999999999999,26.83333333333333
FTI,0.299,-0.09,0.688,0.192,37.983,0.3999999999999999,26.83333333333333
Miss,0.342,0.043,0.641,0.146,26.294,0.3999999999999999,27.84615384615385
Hit,0.292,-0.012,0.597,0.149,28.885,0.3999999999999999,27.84615384615385
RP,0.487,0.194,0.779,0.141,23.462,0.3999999999999999,27.84615384615385
FTI,0.274,-0.05,0.598,0.16,38.504,0.3999999999999999,27.84615384615385
Miss,0.302,0.058,0.546,0.119,26.327,0.3999999999999999,28.85897435897436
Hit,0.27,0.021,0.519,0.122,28.947,0.3999999999999999,28.85897435897436
RP,0.417,0.179,0.656,0.115,23.466,0.3999999999999999,28.85897435897436
FTI,0.254,-0.01,0.519,0.131,38.679,0.3999999999999999,28.85897435897436
Miss,0.268,0.07,0.466,0.096,26.509,0.3999999999999999,29.871794871794872
Hit,0.247,0.045,0.449,0.099,29.279,0.3999999999999999,29.871794871794872
RP,0.352,0.159,0.545,0.093,23.49,0.3999999999999999,29.871794871794872
FTI,0.234,0.018,0.449,0.107,39.62,0.3999999999999999,29.871794871794872
Miss,0.235,0.075,0.395,0.078,27.072,0.3999999999999999,30.884615384615387
Hit,0.223,0.059,0.387,0.08,30.317,0.3999999999999999,30.884615384615387
RP,0.291,0.135,0.447,0.075,23.566,0.3999999999999999,30.884615384615387
FTI,0.209,0.032,0.385,0.087,42.597,0.3999999999999999,30.884615384615387
Miss,0.201,0.072,0.33,0.063,27.863,0.3999999999999999,31.897435897435894
Hit,0.195,0.063,0.328,0.065,31.787,0.3999999999999999,31.897435897435894
RP,0.235,0.111,0.36,0.06,23.672,0.3999999999999999,31.897435897435894
FTI,0.179,0.035,0.323,0.072,46.911,0.3999999999999999,31.897435897435894
Miss,0.166,0.064,0.268,0.05,28.419,0.3999999999999999,32.91025641025641
Hit,0.162,0.057,0.268,0.052,32.831,0.3999999999999999,32.91025641025641
RP,0.186,0.088,0.285,0.048,23.745,0.3999999999999999,32.91025641025641
FTI,0.147,0.032,0.263,0.058,50.039,0.3999999999999999,32.91025641025641
Miss,0.131,0.052,0.21,0.039,28.53,0.3999999999999999,33.92307692307692
Hit,0.127,0.045,0.208,0.04,33.04,0.3999999999999999,33.92307692307692
RP,0.143,0.067,0.22,0.037,23.759,0.3999999999999999,33.92307692307692
FTI,0.116,0.026,0.205,0.045,50.673,0.3999999999999999,33.92307692307692
